Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo, Rep.",COG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,35.3,42.1,42.3,41.8,45.3,38.8,47.6,49.6,54.9,60.7,76.2,65.9,77.8
Colombia,COL,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.4,810.6,964.8,1367.8,1571.5,2378.6,2684.1,3141,3461.3,4136.7,4662.6,5292.6,5520.5,6120.5
Comoros,COM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.2,0.9,0.2,2.6,0.7,0.8,2.2,3.9,1.6,13.9,1.5,2.5,4.6
Cabo Verde,CPV,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.6,0.4,4.1,2.7,2.1,4.9,3.6,2.4,4,9.2,8.2,9.6,8.1
Costa Rica,CRI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.4,219.1,219.1,222.4,228.7,249.5,260.7,261.2,270.3,315.9,285.8,365.8,354.5,376.7
Caribbean small states,CSS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0032809,373.903313,397.8740458,376.21012,455.143035,490.3630355,518.1764753,504.4,559.7,574.9,527.4,540,446.7,500.9
Cuba,CUB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.1,803.4,938.5,1228.5,1130,1174.7,1397.1,1315.9,1588.8,1539.7,1571.1,1482.9,1341,1044.7
Curacao,CUW,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.3,217.7,275.3,316.3,373.5,463.4,575.6,633.6,677.6,758.8,934.7,867.9,891.8,972.9
